restaurant_name,rating,num_ratings,avg_cost,online_order,table_booking,cuisines,area
Aata's Kitchen,2.8,40,250.0,1,0,"['South Indian', 'North Indian']","Byresandra,Tavarekere,Madiwala"
Aathithya,3.1,16,1100.0,0,0,"['North Indian', 'Continental', 'Chinese']",Brigade Road
Aathurar,3.2,574,600.0,1,0,"['Chettinad', 'Biryani', 'South Indian', 'Seafood']",Indiranagar
Abbabi Chicken,3.7,134,200.0,0,0,['Fast Food'],Sarjapur Road
Abhiruchi,3.8,164,650.0,0,0,"['Andhra', 'Seafood', 'North Indian', 'Chinese']",Kalyan Nagar
Abhiruchi Andhra Mess,3.1,61,300.0,1,0,"['Andhra', 'Biryani', 'South Indian']",Whitefield
Abhiruchi Hotel,3.2,12,500.0,1,0,"['North Indian', 'South Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Abhiruchi Moonlight,3.3,4,300.0,1,0,['North Indian'],"Byresandra,Tavarekere,Madiwala"
Abhiruchi Restaurant,3.4,5,400.0,1,0,"['Andhra', 'North Indian', 'Chinese']",Bellandur
AB's - Absolute Barbecues,4.6,1502,1400.0,0,1,"['European', 'Mediterranean', 'North Indian', 'BBQ']",Kalyan Nagar
Absolute Chinese,3.8,209,450.0,1,0,"['Chinese', 'Fast Food', 'Momos']",Malleshwaram
Absolute Shawarma,2.8,40,150.0,1,0,['Lebanese'],Brookefield
Absolute Waffles,3.9,49,200.0,1,0,"['Desserts', 'Fast Food']",Malleshwaram
Aburrahaman,2.8,40,400.0,0,0,"['North Indian', 'South Indian', 'Chinese']",Indiranagar
Abzain Paradise,2.9,42,300.0,0,0,['North Indian'],New BEL Road
Achayyan's,3.8,405,350.0,1,0,"['Kerala', 'South Indian']",Indiranagar
Ackley Kitchen,3.6,33,500.0,1,0,"['Fast Food', 'Continental', 'Burger']",Marathahalli
Adarsh Bakery,3.1,10,300.0,0,0,"['Bakery', 'Fast Food']",Electronic City
Adda,3.3,5,300.0,0,0,['South Indian'],Basavanagudi
Addhuri Udupi Bhojana,3.7,88,300.0,0,0,"['South Indian', 'North Indian']",Banashankari
Adiga's,3.3,55,150.0,0,0,['South Indian'],Basavanagudi
Adi's Cake N Cafe,3.3,4,400.0,0,0,['Bakery'],"Byresandra,Tavarekere,Madiwala"
Adithya,3.9,178,450.0,1,0,"['South Indian', 'North Indian', 'Chinese']",Bannerghatta Road
Adithya Family Restaurant,3.7,27,250.0,0,0,['South Indian'],"Byresandra,Tavarekere,Madiwala"
Adithya Tiffin Centre,2.8,40,200.0,0,0,['North Indian'],Brigade Road
Adithya Veg,3.3,10,300.0,0,0,"['South Indian', 'Chinese']",Basavanagudi
Aditya Delights,3.7,59,300.0,0,0,"['Chinese', 'North Indian', 'Mangalorean']",New BEL Road
Aditya Sweets,3.7,21,200.0,1,0,"['Mithai', 'Fast Food']",Brookefield
Aditya Uphar,3.5,30,200.0,0,0,"['South Indian', 'Chinese', 'North Indian']",JP Nagar
Adukkala Restaurant,2.9,128,600.0,1,0,['Kerala'],Kammanahalli
Adupadi,2.9,25,450.0,0,0,"['South Indian', 'Chettinad']",Whitefield
Advika Briyani Center,3.2,10,300.0,0,0,['Biryani'],JP Nagar
Adya Hotel,3.3,4,400.0,0,0,"['South Indian', 'North Indian', 'Chinese']",Electronic City
Adyar Anand Bhavan Sweets,2.8,40,200.0,0,0,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",Electronic City
Adyar Ananda Bhavan - Sweets,3.4,6,200.0,1,0,"['Mithai', 'Desserts']","Byresandra,Tavarekere,Madiwala"
Adyar Ananda Bhavan Sweets,3.6,4,200.0,1,0,"['Mithai', 'Desserts']",JP Nagar
Afghani Tandoori Hub,3.6,14,400.0,1,0,"['Arabian', 'Afghan']","Byresandra,Tavarekere,Madiwala"
Afoozoo - Ginger Hotel,3.5,40,800.0,0,0,"['North Indian', 'Chinese']",Brookefield
Afrina's Kitchen,3.4,9,250.0,1,0,"['Fast Food', 'Desserts']",Frazer Town
Agarwal Food Service,3.5,16,400.0,1,0,"['North Indian', 'Chinese', 'Biryani']",HSR
Agent Jack's Bar,4.0,377,1300.0,0,1,"['Continental', 'North Indian', 'Italian']",Kalyan Nagar
Agraharaa,2.8,40,150.0,0,0,['South Indian'],Koramangala 4th Block
Agraharam Meal,3.7,61,300.0,0,0,"['North Indian', 'South Indian']",Marathahalli
Aha Juice Bar,3.6,13,200.0,0,0,"['Beverages', 'Fast Food']",Bannerghatta Road
Ahaan Restaurant,2.8,76,300.0,1,0,"['North Indian', 'Chinese']",Frazer Town
AhimsaAmrit Green Cafe,3.4,9,800.0,0,0,"['Healthy Food', 'Salad', 'Continental']",Indiranagar
Ahmad's Chicken Hut,3.2,9,200.0,0,0,"['North Indian', 'Chinese']",Kalyan Nagar
Ahmed's Little Hut,2.8,40,250.0,1,0,['Fast Food'],Bannerghatta Road
Ahmeds Takeaway Restaurant,2.8,40,250.0,0,0,"['North Indian', 'Chinese']",Frazer Town
Aioli,4.2,783,1400.0,0,1,"['Mediterranean', 'Continental', 'Italian', 'Salad']",Kalyan Nagar
Airlines Hotel,4.0,867,400.0,1,0,"['South Indian', 'North Indian', 'Street Food']",Brigade Road
Aishwarya,3.3,6,450.0,0,0,"['Chinese', 'North Indian']",Whitefield
Aishwarya Parkland,2.9,59,500.0,0,0,"['Chinese', 'North Indian']",Bannerghatta Road
Aishwarya Sweets,3.6,24,250.0,1,0,"['Mithai', 'Street Food']",Malleshwaram
Aishwarya Uphar,2.8,40,150.0,0,0,"['South Indian', 'North Indian']",Brigade Road
Ajwa Thalassery Biryani,3.9,42,500.0,1,1,"['Biryani', 'South Indian']",Bellandur
Akkad Bakkad,3.9,72,600.0,1,1,"['North Indian', 'Chinese']",Electronic City
AKS Family Dhaba And Restaurant,3.6,40,500.0,1,0,"['North Indian', 'Mughlai', 'South Indian']",Marathahalli
Akshara,3.8,42,700.0,1,0,"['North Indian', 'South Indian', 'Chinese']",Electronic City
Akshatha Nati Style,3.7,20,500.0,0,0,"['South Indian', 'Chinese', 'North Indian']",Rajajinagar
Akshaya Bar And Restaurant,2.8,40,600.0,1,0,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']","Byresandra,Tavarekere,Madiwala"
AKSHAYA BIRYANI,3.6,20,300.0,1,0,"['Biryani', 'North Indian']",Bellandur
Akshaya Deluxe,4.0,336,500.0,1,0,"['North Indian', 'Chinese', 'Seafood', 'Biryani']",New BEL Road
Akshaya Donne Biriyani,3.0,39,300.0,1,0,"['Biryani', 'South Indian', 'Kebab']",JP Nagar
Akshaya Family Restaurant,3.2,4,150.0,1,0,"['South Indian', 'North Indian']",Kalyan Nagar
Akshaya Grand,3.4,29,750.0,1,0,['North Indian'],"Byresandra,Tavarekere,Madiwala"
Akshaya Sambrama Veg Restaurant,3.2,13,200.0,0,0,"['South Indian', 'Chinese']",Church Street
Akss - India Reimagined,4.2,258,1800.0,0,1,"['Modern Indian', 'North Indian']",Malleshwaram
Al Amal Cafe,4.0,74,300.0,0,0,"['Cafe', 'Fast Food']",Kalyan Nagar
Al Amanah Cafe,4.4,1413,300.0,1,0,"['Middle Eastern', 'Fast Food', 'Rolls']",Frazer Town
Al Ameen Rolls Corner,3.7,16,200.0,0,0,['Rolls'],Kalyan Nagar
Al Barack Cafetaria,3.6,20,300.0,0,0,['Arabian'],Kalyan Nagar
Al Daaz,4.2,567,550.0,1,0,"['North Indian', 'Continental', 'BBQ']",Bellandur
Al Diwan Biryanis And More,3.2,12,300.0,1,0,['Biryani'],Jayanagar
Al Ghani Resetaurant,3.3,4,400.0,0,0,"['Mughlai', 'Biryani']",Kammanahalli
Al Habibi Restaurant,3.5,17,300.0,1,0,"['North Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Al Hayath,3.5,16,200.0,0,0,"['North Indian', 'Chinese']",Koramangala 5th Block
Al Hayath Ambur Biryani,3.3,9,200.0,0,0,['Biryani'],Koramangala 4th Block
Al Khaleej Snacks Corner,2.8,40,200.0,0,0,"['Lebanese', 'Fast Food', 'Beverages']",Basavanagudi
Al Khansah,3.9,370,550.0,1,0,"['Biryani', 'Mughlai', 'Chinese', 'North Indian', 'Kebab']",Bellandur
Al Khwaja,3.0,13,400.0,0,0,"['North Indian', 'Chinese']",Bellandur
Al Madhina Roll House,3.4,6,300.0,0,0,"['North Indian', 'Chinese']",Kammanahalli
Al Madina Family Restaurant,2.8,40,500.0,0,0,"['North Indian', 'South Indian', 'Arabian']",Basavanagudi
Al Madina Roll House,3.6,16,150.0,1,0,['Biryani'],Kalyan Nagar
Al Manar,2.8,40,400.0,0,0,"['South Indian', 'North Indian', 'Chinese']",Koramangala 7th Block
Al Noor,3.7,21,350.0,0,0,"['North Indian', 'Chinese', 'Arabian', 'Rolls']",Brigade Road
Al Sadique,3.9,185,450.0,1,0,"['North Indian', 'Mughlai', 'Chinese', 'Rolls']",Rajajinagar
Al Sadique Restaurant,3.4,32,350.0,0,0,"['Mughlai', 'North Indian', 'Street Food']",MG Road
Al Swaad Take Away,3.1,12,350.0,1,0,"['North Indian', 'South Indian', 'Arabian']",Brigade Road
Al Taj Fast Food,3.2,4,600.0,1,0,"['Fast Food', 'North Indian', 'South Indian', 'Chinese']",Rajajinagar
Al Zaiqa Hotel,3.4,14,200.0,1,0,"['Chinese', 'South Indian', 'Fast Food']",Marathahalli
Alampur Bar And Restaurant,3.7,42,900.0,1,0,"['Chinese', 'South Indian', 'North Indian']",Brigade Road
Alankar Restaurant,2.8,40,800.0,0,0,"['South Indian', 'North Indian', 'Chinese']",Marathahalli
Alankrutha,3.8,260,500.0,1,0,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",Koramangala 5th Block
Alba - JW Marriott Bengaluru,4.4,561,4000.0,0,1,['Italian'],Church Street
Al-Badia Restaurant,4.2,89,700.0,0,0,['Arabian'],Kalyan Nagar
Al-Baik Kabab Corner,3.2,25,350.0,1,0,"['Kebab', 'Biryani']",Malleshwaram
Al-Baik Tandoori Restaurant,3.6,113,450.0,1,0,"['North Indian', 'Chinese', 'Arabian', 'Biryani', 'Rolls']",Frazer Town
Al-Bek,3.9,682,650.0,1,0,"['North Indian', 'Mughlai', 'Chinese', 'Seafood']","Byresandra,Tavarekere,Madiwala"
Albert Bakery,4.3,346,150.0,0,0,"['Bakery', 'Fast Food']",Frazer Town
Alchemy - The Chancery Pavilion,4.3,446,2000.0,0,1,['Modern Indian'],Brigade Road
Alchemy Coffee Roasters,4.2,704,500.0,0,0,['Cafe'],Basavanagudi
Alfa Family Restaurant,3.0,27,400.0,0,0,"['North Indian', 'Arabian', 'Chinese']",Basavanagudi
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,3.7,77,2000.0,0,1,['Continental'],Malleshwaram
Ali Snacks Point,3.4,5,150.0,1,0,"['Chinese', 'Momos']",Malleshwaram
Alibaba Cafe and Restaurant,2.9,55,700.0,0,0,"['Arabian', 'Middle Eastern']",Kammanahalli
Alibi - Maya International Hotel,1.8,224,1200.0,0,0,"['North Indian', 'Continental', 'Chinese']",Brigade Road
AlienSip,3.6,11,200.0,1,0,['Juices'],Bannerghatta Road
Alif Restaurant,3.6,26,600.0,1,0,"['North Indian', 'Chinese']",Bannerghatta Road
Aligarh House,4.4,98,400.0,1,0,"['North Indian', 'Biryani', 'Awadhi', 'Mughlai']","Byresandra,Tavarekere,Madiwala"
Alikemom,2.8,40,300.0,1,0,['North Indian'],Electronic City
